title,url,servings,ingredients,calories,carbohydrates,proteins,fats,tags
Arroz con espinacas,https://recetas.lidl.es/recetas/arroz-con-espinacas,4,"[""380 g arroz largo ecol\u00f3gico"", ""800 ml caldo de verduras"", ""200 g espinacas frescas"", ""1 ud cebolla"", ""2 uds zanahorias"", ""1 cucharada aceite de oliva virgen extra""]",400.8 kCal,84 g,9 g,4 g,"[""Primeros"", ""Arroz, Legumbres y Cereales"", ""Vegetariana""]"
Lubina al horno,https://recetas.lidl.es/recetas/lubina-al-horno,4,"[""400 g filetes de lubina"", ""4 uds patatas medianas"", ""1 ud cebolla blanca"", ""1 vaso vino blanco"", ""30 ml aceite de oliva virgen extra""]",335.7 kCal,30 g,22 g,9 g,"[""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl""]"
Papas con choco,https://recetas.lidl.es/recetas/papas-con-choco,4,"[""800 g Chocos limpios"", ""700 g papas"", ""1 ud cebolla"", ""2 dientes ajos"", ""1 ud pimiento verde (producto canario)"", ""200 g tomate triturado"", ""40 ml aceite de oliva virgen extra"", ""1 cucharada piment\u00f3n"", ""1 cucharada sal marina""]",412 kCal,32 g,40 g,13 g,"[""Primeros"", ""Segundos"", ""Pescado y Marisco""]"
Pajaritas con longaniza,https://recetas.lidl.es/recetas/pajaritas-con-longaniza,4,"[""200 g Pajaritas de pasta"", ""200 g longaniza"", ""250 g tomates cherry"", ""2 dientes dientes de ajo"", ""2 cucharadas aceite de oliva"", ""1 cucharadita perejil"", ""1 cucharadita or\u00e9gano""]",388 kCal,40 g,13 g,19.5 g,"[""Primeros"", ""Segundos"", ""Pasta y Pizza"", ""Recetas para ni\u00f1os a partir de 3 a\u00f1os""]"
Cuartos traseros de pollo con papas y manzana,https://recetas.lidl.es/recetas/cuartos-traseros-de-pollo-con-papas-y-manzana,3,"[""3 uds Cuartos traseros de pollo"", ""1 ud cebolla dulce"", ""1 ud manzana golden"", ""4 uds Papas rojas"", ""1 ud naranja"", ""1 pu\u00f1ado Perejil fresco"", ""2 dientes dientes de ajo"", ""200 ml caldo de pollo"", ""2 cucharadas aceite de oliva virgen extra""]",503 kCal,50 g,42 g,13 g,"[""Segundos"", ""Carne y Aves""]"
Alubias con chorizo,https://recetas.lidl.es/recetas/alubias-con-chorizo,4,"[""400 g Alubias blancas"", ""2 uds puerros"", ""2 uds zanahorias"", ""1 ud cebolla"", ""2 uds dientes de ajo"", ""1 ud tomate"", ""200 g Chorizo extra dulce"", ""1 hoja hoja de laurel"", ""1 cucharadita piment\u00f3n dulce"", ""30 ml pimienta negra""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Arroz, Legumbres y Cereales""]"
Crumble de manzana,https://recetas.lidl.es/recetas/crumble-de-manzana,6,"[""800 g ar\u00e1ndanos"", ""125 g frambuesas"", ""2 uds manzanas rojas"", ""0.5 ud lim\u00f3n"", ""1 cucharada canela molida"", ""15 g mantequilla"", ""1 cucharada az\u00facar moreno""]",423 kCal,46 g,6 g,23 g,"[""Postres"", ""Postres y Dulces"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Cordon bleu de pavo,https://recetas.lidl.es/recetas/cordon-bleu-de-pavo,4,"[""800 g solomillos de pavo"", ""1 cucharada piment\u00f3n dulce"", ""40 g Pur\u00e9 de manzana"", ""120 g queso gouda"", ""120 g Queso gouda (producto canario)"", ""80 g Jam\u00f3n de cebo ib\u00e9rico"", ""2 uds Huevos L"", ""50 g harina de trigo"", ""150 g Cereales Corn Flakes""]",464 kCal,42 g,31 g,19 g,"[""Segundos"", ""Carne y Aves"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Croquetas de brócoli y queso,https://recetas.lidl.es/recetas/croquetas-de-brocoli-y-queso,7,"[""500 g br\u00f3coli"", ""300 g Queso de cabra semicurado Roncero"", ""2 uds Huevos L"", ""0.5 taza pan rallado""]",N/A,N/A,N/A,N/A,"[""Aperitivos"", ""Pan y Masas""]"
Quiche de quesos y bacon,https://recetas.lidl.es/recetas/quiche-de-quesos-y-bacon,8,"[""1 ud masa quebrada"", ""300 g bacon"", ""6 uds Huevos L"", ""400 ml nata para cocinar"", ""80 g Queso Jermi Old Amsterdam"", ""80 g queso camembert"", ""100 g Queso de cabra semicurado Roncero""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Pan y Masas""]"
Lenguado al  limón,https://recetas.lidl.es/recetas/lenguado-al-limon,3,"[""450 g Filete de lenguado"", ""5 uds dientes de ajo"", ""40 g mantequilla con sal"", ""2 cucharadas harina de ma\u00edz"", ""2 uds zumo de lim\u00f3n"", ""1 ud ralladura de lim\u00f3n"", ""500 g Papas para arrugar"", ""2 cucharadas aceite de oliva virgen extra""]",445 kCal,31 g,33 g,20 g,"[""Segundos"", ""Pescado y Marisco"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Pan de queso en panificadora,https://recetas.lidl.es/recetas/pan-de-queso-en-panificadora,8,"[""277 ml leche entera"", ""3 uds Huevos L"", ""35 g mantequilla sin sal"", ""35 g harina de trigo"", ""230 g sal""]",22.67 kCal,40.9 g,57.51 g,487.98 g,"[""Desayunos y Meriendas"", ""Pan y Masas"", ""Panificadora""]"
Pinchos de embutidos,https://recetas.lidl.es/recetas/pinchos-de-embutidos,4,"[""500 g uva roja sin semilla""]",85.55 kCal,4 g,4 g,6 g,"[""Aperitivos"", ""Carne y Aves"", ""P\u00edcnic"", ""Recetas con embutidos y quesos""]"
Pollo frito en freidora de aire,https://recetas.lidl.es/recetas/pollo-frito-en-freidora-de-aire,4,"[""500 g pechugas de pollo"", ""90 g harina de trigo"", ""2 uds Huevos L"", ""90 g Cereales Corn Flakes"", ""2 cucharadas piment\u00f3n dulce"", ""1 cucharada cebolla en polvo""]",565.4 kCal,44 g,44 g,565.4 g,"[""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl"", ""Freidora de aire""]"
Cheesecake de queso fresco,https://recetas.lidl.es/recetas/cheesecake-de-queso-fresco,10,"[""500 g queso fresco"", ""200 g Queso mezcla madurado en cava"", ""200 g Galletas Digestive"", ""70 g mantequilla sin sal"", ""165 g nata para montar"", ""200 g az\u00facar"", ""4 uds Huevos M"", ""30 g harina de trigo"", ""60 g Confitura de fresa"", ""120 g Fres\u00f3n (producto canario)"", ""50 g frambuesas""]",19 kCal,32 g,42 g,532 g,"[""Postres"", ""Postres y Dulces"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Merluza al pisto,https://recetas.lidl.es/recetas/merluza-al-pisto,2,"[""4 uds filetes de merluza"", ""400 g pisto""]",390.98 kCal,19 g,32 g,20 g,"[""Segundos"", ""Pescado y Marisco"", ""La Cocina de Lidl""]"
Tallarines al pisto,https://recetas.lidl.es/recetas/tallarines-al-pisto,2,"[""400 g tallarines"", ""400 g pisto"", ""60 g aceite de oliva virgen extra""]",1129.15 kCal,161 g,39 g,34 g,"[""Primeros"", ""Pasta y Pizza"", ""La Cocina de Lidl""]"
Natillas,https://recetas.lidl.es/recetas/natillas,4,"[""600 ml leche entera"", ""1 ud Canela en rama"", ""1 ud Piel de lim\u00f3n"", ""4 uds yema de huevo"", ""15 g maicena"", ""75 g az\u00facar""]",N/A,N/A,N/A,N/A,"[""Postres"", ""Postres y Dulces""]"
Costillas de cerdo con alcachofas y patatas,https://recetas.lidl.es/recetas/costillas-de-cerdo-con-alcachofas-y-patatas,4,"[""1 cucharadita aceite de oliva virgen extra"", ""800 g costillas de cerdo"", ""2 uds dientes de ajo"", ""3 uds patatas"", ""375 ml vino blanco"", ""200 g alcachofas""]",998.7 kCal,23 g,61 g,64 g,"[""Primeros"", ""Segundos"", ""Carne y Aves""]"
Wok de langostinos con garbanzos crujientes,https://recetas.lidl.es/recetas/wok-de-langostinos-con-garbanzos-crujientes,3,"[""400 g garbanzos cocidos"", ""1 cucharada Jengibre molido"", ""1 cucharada c\u00farcuma molida""]",354 kCal,32 g,32 g,10 g,"[""Primeros"", ""Segundos"", ""Pescado y Marisco"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Pollo a la cerveza,https://recetas.lidl.es/recetas/pollo-a-la-cerveza,4,"[""4 uds jamoncito de pollo"", ""400 g patatas"", ""2 uds zanahorias"", ""1 ud lim\u00f3n"", ""330 ml cervezas"", ""1 cucharadita Romero molido"", ""30 ml aceite de oliva virgen extra""]",439.4 kCal,25 g,39 g,18 g,"[""Primeros"", ""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl""]"
Galletas de San Valentín,https://recetas.lidl.es/recetas/galletas-de-san-valentin,4,"[""250 g harina de trigo"", ""80 g az\u00facar blanco Belbake"", ""125 g sal"", ""1 ud mantequilla sin sal"", ""200 g huevo (L suelo)""]",1333.9 kCal,178 g,17 g,76 g,"[""Postres"", ""Postres y Dulces"", ""La Cocina de Lidl"", ""San Valent\u00edn""]"
Judías verdes con jamón,https://recetas.lidl.es/recetas/judias-verdes-con-jamon,4,"[""500 g Jud\u00edas verdes"", ""200 g jam\u00f3n serrano"", ""100 g tomate triturado"", ""1 cucharadita aceite de oliva virgen extra""]",194.4 kCal,10 g,19 g,10 g,"[""Primeros"", ""Segundos"", ""Fruta y Verdura""]"
Pasta a la sorrentina,https://recetas.lidl.es/recetas/pasta-a-la-sorrentina,4,"[""400 g Pasta Fusilli Pugliesi ITALIAMO"", ""1 diente sal"", ""400 g aceite de oliva virgen extra"", ""400 g Ajo blanco"", ""40 g Salsa de Polpa di Pomodoro con Basilico ITALIAMO""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Pasta y Pizza""]"
Salmón en salsa de leche de coco,https://recetas.lidl.es/recetas/salmon-en-salsa-de-leche-de-coco,4,"[""1 ud cebolla"", ""2 uds dientes de ajo"", ""0.5 cucharadita c\u00farcuma molida"", ""0.25 cucharadita cilantro fresco"", ""0.25 cucharadita piment\u00f3n dulce"", ""0.25 cucharadita Jengibre molido"", ""4 filetes salm\u00f3n"", ""1 ud lima"", ""400 ml aceite de oliva""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Pescado y Marisco"", ""La Cocina de Lidl""]"
Cupcakes con glaseado de fresa,https://recetas.lidl.es/recetas/cupcakes-con-glaseado-de-fresa,9,"[""320 g harina de trigo"", ""2 uds Huevos L"", ""100 g yogur griego"", ""120 ml aceite de oliva"", ""160 ml leche semidesnatada"", ""100 g Eritritol"", ""10 g Polvo de hornear"", ""120 g sal""]",500 kCal,40 g,13 g,31 g,"[""Postres"", ""Postres y Dulces""]"
Rosquillas,https://recetas.lidl.es/recetas/rosquillas,4,"[""250 g harina"", ""100 g az\u00facar"", ""1 ud Huevo peque\u00f1o"", ""30 g mantequilla"", ""90 ml leche"", ""10 g Levadura de panader\u00eda fresca"", ""200 ml sal"", ""1 cucharadita aceite de girasol""]",240 kCal,30.5 g,3.3 g,-7 g,"[""Postres"", ""Postres y Dulces"", ""Recetas para ni\u00f1os a partir de 3 a\u00f1os""]"
Huevos con pisto de calabaza,https://recetas.lidl.es/recetas/huevos-con-pisto-de-calabaza,4,"[""4 uds Huevos M"", ""200 g tomate triturado"", ""1 ud pimiento rojo"", ""1 ud cebolla"", ""1 ud calabac\u00edn"", ""500 calabazas"", ""30 g queso feta""]",202 kCal,14 g,11 g,11 g,"[""Primeros"", ""Segundos"", ""Fruta y Verdura"", ""L\u00e1cteos y Huevos""]"
Ternera con salsa de champiñones,https://recetas.lidl.es/recetas/ternera-con-salsa-de-champinones,4,"[""4 uds Filetes de ternera"", ""1 cucharada harina de trigo"", ""4 cucharadas aceite de oliva""]",307 kCal,13 g,26 g,16 g,"[""Segundos"", ""Carne y Aves"", ""Recetas para ni\u00f1os a partir de 2 a\u00f1os""]"
Lentejas con arroz,https://recetas.lidl.es/recetas/lentejas-con-arroz,4,"[""250 g Lentejas Campo Largo"", ""2 dientes ajos"", ""0.5 ud calabac\u00edn"", ""160 g zanahorias"", ""0.5 ud pimiento rojo"", ""15 ml aceite de oliva virgen extra"", ""150 ml piment\u00f3n dulce"", ""1 ud sal"", ""800 ml tomate triturado"", ""100 g hoja de laurel""]",352.6 kCal,49 g,19 g,17 g,"[""Primeros"", ""Arroz, Legumbres y Cereales"", ""La Cocina de Lidl""]"
Sepia con patatas,https://recetas.lidl.es/recetas/sepia-con-patatas,4,"[""500 g Sepia limpia"", ""750 g Patatas para cocer"", ""1 ud cebolla"", ""3 dientes ajos"", ""0.5 cucharadita piment\u00f3n dulce"", ""150 ml vino blanco"", ""600 ml caldo de pescado"", ""1 hoja hoja de laurel"", ""150 g tomate triturado"", ""3 cucharadas aceite de oliva virgen extra""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Pescado y Marisco""]"
Estofado de secreto de cerdo,https://recetas.lidl.es/recetas/estofado-de-secreto-de-cerdo,4,"[""800 g secreto de cerdo"", ""1 ud cebolla"", ""2 dientes ajos"", ""1 ud zanahoria"", ""2 uds tomates en rama"", ""0.5 ud pimiento verde"", ""0.5 ud pimiento rojo"", ""1 ud batata"", ""1 ud naranja"", ""1 ud hoja de laurel"", ""1 cucharadita piment\u00f3n dulce"", ""1 cucharada aceite de oliva virgen extra""]",485 kCal,35 g,43 g,18 g,"[""Segundos"", ""Carne y Aves"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Empanada de salmón ahumado,https://recetas.lidl.es/recetas/empanada-de-salmon-ahumado,6,"[""100 g salm\u00f3n ahumado"", ""2 uds masas para empanadas"", ""200 g puerros"", ""250 g calabacines"", ""100 g eneldo"", ""100 g queso para untar"", ""1 cucharada queso de cabra"", ""1 ud aceite de oliva""]",490 kCal,44 g,16 g,27 g,"[""Segundos"", ""Pan y Masas"", ""Pescado y Marisco"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Albóndigas en salsa,https://recetas.lidl.es/recetas/albondigas-en-salsa,4,"[""700 g alb\u00f3ndigas de cerdo"", ""10 ml aceite de oliva virgen extra"", ""2 dientes ajos"", ""1 ud cebolla"", ""1 ud zanahoria"", ""1 ud pimiento verde"", ""100 ml vino tinto"", ""300 ml tomate triturado"", ""500 ml caldo de cocido""]",438.7 kCal,12 g,30 g,28 g,"[""Segundos"", ""Carne y Aves""]"
Desayuno saludable,https://recetas.lidl.es/recetas/desayuno-saludable,2,"[""300 g papaya (producto canario)"", ""1 ud naranja"", ""1 ud Yogur bifidus natural cremoso"", ""2 rebanadas Pan de centeno"", ""80 g reques\u00f3n"", ""0.5 ud caqui"", ""10 g nueces sin c\u00e1scara"", ""1 cucharadita miel""]",312 kCal,52 g,13 g,4 g,"[""Desayunos y Meriendas"", ""Fruta y Verdura"", ""Pan y Masas"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Rollitos de papel de arroz con fideos,https://recetas.lidl.es/recetas/rollitos-de-papel-de-arroz-con-fideos,4,"[""1 ud zanahoria"", ""0.5 ud pepino"", ""0.5 ud pimiento rojo"", ""40 g Rabanito"", ""90 g Glass Noodles Vitasia"", ""12 uds Obleas de papel de arroz"", ""90 g Brotes de bamb\u00fa"", ""1 g Chili Vitasia""]",226.9 kCal,47 g,2 g,4 g,"[""Segundos"", ""Fruta y Verdura""]"
Wraps de tofu,https://recetas.lidl.es/recetas/wraps-de-tofu,4,"[""150 g tofu firme"", ""1 ud lima"", ""8 ml aceite de oliva virgen extra"", ""350 g salteado de verduras"", ""8 uds sal"", ""35 uds tortillas de trigo integral"", ""95 g queso feta""]",252.7 kCal,23 g,12 g,11 g,"[""Segundos"", ""Fruta y Verdura"", ""Pan y Masas"", ""La Cocina de Lidl""]"
Pizza de quesos y aceitunas,https://recetas.lidl.es/recetas/pizza-de-quesos-y-aceitunas,2,"[""100 g tomate frito"", ""1 g or\u00e9gano"", ""1 ud masa fresca para pizza"", ""85 g mezcla 4 quesos para gratinar"", ""90 g mini mozzarella"", ""80 g queso azul"", ""30 g aceitunas rellenas de anchoa"", ""90 bacon""]",1156.5 kCal,131 g,50 g,47 g,"[""Primeros"", ""Pasta y Pizza"", ""La Cocina de Lidl""]"
Sopa de brócoli y queso cheddar,https://recetas.lidl.es/recetas/sopa-de-brocoli-y-queso-cheddar,4,"[""1 diente ajo"", ""1 ud cebolla"", ""1 ud zanahoria"", ""15 ml aceite de oliva virgen extra"", ""800 ml sal"", ""1 ud Caldo de verduras Kania"", ""150 ml br\u00f3coli"", ""150 g pimienta blanca""]",376.7 kCal,13 g,14 g,31 g,"[""Primeros"", ""Fruta y Verdura"", ""Sopas y Cremas""]"
Pechugas de pollo rellenas,https://recetas.lidl.es/recetas/pechugas-de-pollo-rellenas,4,"[""200 g queso de untar"", ""60 g manzanas verdes"", ""20 g nueces sin c\u00e1scara""]",997.9 kCal,10 g,111 g,54 g,"[""Segundos"", ""Fruta y Verdura"", ""Carne y Aves""]"
Merluza a la riojana,https://recetas.lidl.es/recetas/merluza-a-la-riojana,3,"[""1 ud cebolla"", ""1 ud pimiento rojo"", ""2 uds dientes de ajo"", ""15 ml aceite de oliva virgen extra"", ""150 ml vino blanco"", ""400 ml tomate triturado"", ""400 g filetes de merluza"", ""150 g gambas peladas""]",284.4 kCal,14 g,29 g,7 g,"[""Segundos"", ""Pescado y Marisco""]"
Tarta de queso con uvas,https://recetas.lidl.es/recetas/tarta-de-queso-con-uvas,12,"[""250 g Galleta mar\u00eda dorada"", ""120 g mantequilla sin sal""]",550.1 kCal,63 g,6 g,45 g,"[""Postres"", ""Postres y Dulces"", ""Cumplea\u00f1os""]"
Buñuelos de calabacín,https://recetas.lidl.es/recetas/bunuelos-de-calabacin,4,"[""125 g yogur natural"", ""25 g mostaza de dijon"", ""15 g mayonesa"", ""20 g miel""]",308.9 kCal,40 g,10 g,37 g,"[""Segundos"", ""Fruta y Verdura"", ""La Cocina de Lidl""]"
Picoteo Deluxe,https://recetas.lidl.es/recetas/picoteo-deluxe,5,"[""5 uds vieiras rellenas de marisco"", ""10 uds mini hojaldre"", ""10 uds mini mozzarella"", ""30 g pimiento del piquillo caramelizado"", ""10 uds albahaca (producto canario)"", ""150 g queso a\u00f1ejo"", ""150 g queso de cabra con piment\u00f3n"", ""150 g queso de oveja con trufa"", ""50 g membrillo el quijote"", ""1 ud caqui"", ""0.5 ud manzana"", ""50 g almendra garrapi\u00f1ada"", ""75 g higos secos"", ""50 g crackers""]",796 kCal,41 g,36 g,53 g,"[""Aperitivos"", ""L\u00e1cteos y Huevos"", ""Fruta y Verdura"", ""Pescado y Marisco"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Pan de uvas pasas en panificadora,https://recetas.lidl.es/recetas/pan-de-uvas-pasas-en-panificadora,8,"[""340 ml agua"", ""25 g Mantequilla Milbona"", ""5 g az\u00facar blanco Belbake"", ""15 g levadura fresca"", ""610 g harina de fuerza"", ""8 g sal"", ""150 g Mix con ar\u00e1ndanos y pasas  Alesto Selection""]",381.6 kCal,64 g,12 g,8 g,"[""Guarniciones"", ""Pan y Masas"", ""Panificadora""]"
Saquitos de langostinos con salsa de papaya,https://recetas.lidl.es/recetas/saquitos-de-langostinos-con-salsa-de-papaya,3,"[""250 g Langostino crudo"", ""1 ud masa de hojaldre"", ""50 g champi\u00f1ones"", ""50 g queso de untar"", ""1 ud aceite de oliva virgen extra""]",481 kCal,39 g,14 g,28 g,"[""Segundos"", ""Pescado y Marisco"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Tartaletas de manzana,https://recetas.lidl.es/recetas/tartaletas-de-manzana,6,"[""3 uds manzanas"", ""1 ud masa de hojaldre"", ""1 ud huevo"", ""200 g mermelada de melocot\u00f3n"", ""20 g az\u00facar moreno"", ""3 g canela molida""]",N/A,N/A,N/A,N/A,"[""Desayunos y Meriendas"", ""Postres y Dulces"", ""Freidora de aire""]"
Sopa de cebolla,https://recetas.lidl.es/recetas/sopa-de-cebolla,4,"[""2 uds cebollas"", ""30 g mantequilla"", ""1 l caldo de carne"", ""1 vaso vino blanco"", ""0.5 cucharada harina"", ""0.5 barra barra de pan"", ""50 g queso rallado""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Sopas y Cremas""]"
Pollo relleno con verduras,https://recetas.lidl.es/recetas/pollo-relleno-con-verduras,8,"[""1 ud pollo relleno de queso de cabra y mermelada Deluxe"", ""500 g patatas"", ""1 ud boniato"", ""3 uds zanahorias"", ""20 ml aceite de oliva virgen extra"", ""5 ml vinagre bals\u00e1mico de M\u00f3dena"", ""10 ml miel"", ""150 g hierbas provenzales Kania"", ""150 g sal"", ""90 g jud\u00edas verdes redondas""]",N/A,N/A,N/A,N/A,"[""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl"", ""Navidad""]"
Canelones de pescado y marisco,https://recetas.lidl.es/recetas/canelones-de-pescado-y-marisco,4,"[""1 ud puerro"", ""20 ml aceite de oliva virgen extra"", ""40 g sal"", ""250 ml pimienta negra"", ""1 ud Crema de pimiento del piquillo Deluxe""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Pescado y Marisco"", ""La Cocina de Lidl"", ""Navidad""]"
Canapé vegano,https://recetas.lidl.es/recetas/canape-vegano,8,"[""60 g Mini tostas pasas La Cestera"", ""250 g Remolacha cocida"", ""125 g garbanzos precocinados Campo Largo"", ""1 ud diente de ajo"", ""15 ml Comino molido Kania"", ""1 ud sal"", ""1 ud aceite de oliva virgen extra"", ""20 g lim\u00f3n""]",N/A,N/A,N/A,N/A,"[""Aperitivos"", ""Fruta y Verdura"", ""La Cocina de Lidl"", ""Navidad""]"
Tarta de turrón,https://recetas.lidl.es/recetas/tarta-de-turron,8,"[""80 g Barquillo de chocolate negro"", ""80 g Galletas digestive avena Sondey"", ""100 g Mantequilla Milbona""]",N/A,N/A,N/A,N/A,"[""Postres"", ""Postres y Dulces"", ""La Cocina de Lidl"", ""Navidad""]"
"Codillo de cerdo con naranja, pomelo y miel",https://recetas.lidl.es/recetas/codillo-de-cerdo-con-naranja-pomelo-y-miel,6,"[""2 uds codillos de cerdo salmuerizado"", ""3 cucharadas miel"", ""2 ramas canela"", ""1 ud Naranja canaria"", ""1 ud pomelo"", ""1 l caldo de pollo"", ""1 cucharada aceite de oliva""]",538 kCal,48 g,29 g,24 g,"[""Segundos"", ""Carne y Aves"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Galletas de jengibre,https://recetas.lidl.es/recetas/galletas-de-jengibre,10,"[""440 g harina de trigo"", ""225 g mantequilla"", ""200 g az\u00facar moreno"", ""1 ud huevo"", ""150 g miel"", ""2 cucharadas canela"", ""300 g Chocolate blanco para fundir"", ""2 cucharadas Jengibre molido""]",679 kCal,88.18 g,8.07 g,32.64 g,"[""Postres"", ""Postres y Dulces"", ""Recetas para ni\u00f1os a partir de 2 a\u00f1os""]"
